Most common words,JE relative frequency,WH relative frequency,Relative frequency difference
killed,3.343922420999833e-05,0.00023100844069302533,0.000197569216483027
enough,0.0011926656634899404,0.0009951132829853397,0.00019755238050460063
opportunity,0.00012261048876999387,0.0003198578409595735,0.00019724735218957964
hell,0.00012261048876999387,0.0003198578409595735,0.00019724735218957964
bright,0.00044585632279997773,0.00024877832074633494,0.0001970780020536428
glass,0.00044585632279997773,0.00024877832074633494,0.0001970780020536428
bed,0.000958591094019952,0.0011550422034651267,0.00019645110944517465
wild,0.0006576380761299671,0.00046201688138605067,0.00019562119474391646
laughed,0.00017834252911999108,0.00037316748111950246,0.00019482495199951139
reason,0.0002675137936799866,0.00046201688138605067,0.00019450308770606404
horse,0.00035668505823998215,0.0005508662816525988,0.00019418122341261667
death,0.0006241988519199688,0.0008174144824522434,0.00019321563053227467
completely,5.5732040349997216e-05,0.00024877832074633494,0.0001930462803963377
attempted,5.5732040349997216e-05,0.00024877832074633494,0.0001930462803963377
aversion,5.5732040349997216e-05,0.00024877832074633494,0.0001930462803963377
brother,0.0005015883631499749,0.000693025322079076,0.00019143695892910107
dogs,2.2292816139998884e-05,0.00021323856063971568,0.0001909457444997168
villain,2.2292816139998884e-05,0.00021323856063971568,0.0001909457444997168
grieved,2.2292816139998884e-05,0.00021323856063971568,0.0001909457444997168
hereafter,2.2292816139998884e-05,0.00021323856063971568,0.0001909457444997168
quarrel,2.2292816139998884e-05,0.00021323856063971568,0.0001909457444997168
sound,0.0005461739954299727,0.00035539760106619283,0.00019077639436377984
step,0.0005461739954299727,0.00035539760106619283,0.00019077639436377984
seated,0.00020063534525998996,0.0003909373611728121,0.00019030201591282213
chimney,7.80248564899961e-05,0.0002665482007996446,0.0001885233443096485
convinced,7.80248564899961e-05,0.0002665482007996446,0.0001885233443096485
inform,7.80248564899961e-05,0.0002665482007996446,0.0001885233443096485
poor,0.0007356629326199632,0.0009240337627721013,0.0001883708301521381
conduct,0.00016719612104999163,0.00035539760106619283,0.0001882014800162012
blue,0.0004012706905199799,0.00021323856063971568,0.00018803212988026424
guest,4.458563227999777e-05,0.00023100844069302533,0.00018642280841302757
smile,0.0005238811792899738,0.00033762772101288314,0.0001862534582770907
teeth,0.0001337568968399933,0.0003198578409595735,0.0001861009441195802
dropped,0.0001337568968399933,0.0003198578409595735,0.0001861009441195802
lived,0.00043470991472997826,0.00024877832074633494,0.00018593159398364332
arm,0.0004904419550799755,0.0006752554420257663,0.0001848134869457908
walk,0.000579613219639971,0.0007641048422923145,0.00018449162265234348
mamma,1.1146408069999442e-05,0.00019546868058640605,0.0001843222725164066
entered,0.0006687844841999665,0.0008529542425588627,0.00018416975835889617
lock,0.00010031767262999498,0.00028431808085295425,0.00018400040822295926
period,0.00010031767262999498,0.00028431808085295425,0.00018400040822295926
strength,0.0004681491389399766,0.00028431808085295425,0.00018383105808702236
stepped,6.687844841999666e-05,0.00024877832074633494,0.0001818998723263383
reply,0.0004124170985899794,0.00023100844069302533,0.00018140865789695405
recovered,3.343922420999833e-05,0.00021323856063971568,0.00017979933642971735
pulled,3.343922420999833e-05,0.00021323856063971568,0.00017979933642971735
agitation,3.343922420999833e-05,0.00021323856063971568,0.00017979933642971735
thee,3.343922420999833e-05,0.00021323856063971568,0.00017979933642971735
question,0.0005350275873599733,0.00035539760106619283,0.00017962998629378042
condition,0.00012261048876999387,0.0003020879609062639,0.00017947747213627
imagine,0.00012261048876999387,0.0003020879609062639,0.00017947747213627
hat,0.00012261048876999387,0.0003020879609062639,0.00017947747213627
electronic,0.000300953017889985,0.0004797867614393603,0.00017883374354937532
live,0.0007468093406899626,0.0005686361617059085,0.00017817317898405414
different,0.0003901242824499805,0.00021323856063971568,0.00017688572181026482
often,0.000780248564899961,0.0006041759218125278,0.00017607264308743323
strong,0.00060190603577997,0.00042647712127943135,0.0001754289145005386
ashamed,5.5732040349997216e-05,0.00023100844069302533,0.00017527640034302813
fool,0.00014490330490999275,0.0003198578409595735,0.00017495453604958076
neck,0.0002340745694699883,0.0004087072412261217,0.00017463267175613342
uttered,0.0002340745694699883,0.0004087072412261217,0.00017463267175613342
ah,0.0002340745694699883,0.0004087072412261217,0.00017463267175613342
